qqr_latin	qqr_kirill	ruscha
abaysızlıq	абайсызлық	1) невниматель
abatlıq	абатлық	1) благоустройство;
abatlılıq	абатлылық	благоустроенность
abatshılıq	абатшылық	см. - абатлылык
abroysızlıq	абройсызлық	1) отсутствие ав
abstrakciyalıq	абстракциялық	см. - абстракт
apantyuralıq	апантюралық	авантюрный
avyuoiografiyalıq	авюоиографиялық	автобио
raqalpaq	рақалпақ	автономиялы республикасы Каракалпакская автонбмная республика
avtorlıq	авторлық	авторство; / автор
agitatorlıq	агитаторлық	агитаторский
agrarlıq	аграрлық	аграрный; аграрлық
másele	мәселе	аграрный вопрос
agressiyalıq	агрессиялық	см. агрессивлик
agronomiyalıq	агрономиялық	агрономиче - ский; агрономиялық илажлар
agrotexnikalıq	агротехникалық	агротехниче - ский; агротехникалық усыллар
aǵayınlıq	ағайынлық	1) родство, род
aǵayın-tuwǵan	ағайын-туўған	собир. - родня
agayınshıllıq	агайыншыллық	1) почтйтельное отношение к родственникам
aǵartıw	ағартыў	I и. д. от агарт
aǵartıwshı	ағартыўшы	1 маляр; тот, кто
agartıwshı	агартыўшы	II уст. просветйтель
aǵarıw	ағарыў	и. д. от - агар- - 1) по
aǵaw	ағаў	челнок {вкустарном ткац
aǵa	аға	19 аДа
aǵash	ағаш	перекладина в ткацком - стане; табан ағаш поднбжник
aǵashlı	ағашлы	лесистый, лесной;
aǵashlıq	ағашлық	лес; место, заросшее
aǵash-paǵash	ағаш-пағаш	собир. - 1) деревья;
aǵashshı	ағашшы	плотник
aǵza	ағза	в разн. внач. - член; партия
aǵzası	ағзасы	член-корреспондёнт Ака
aǵızıs-	ағызыс-	взаимн. от ағыз
aǵızıw	ағызыў	и. д. - от ағыз- - 1) пуск
aǵıl-	ағыл-	хлынуть, двинуться
aǵıl-tegil	ағыл-тегил	в - изобйлии, в из
aǵılıw	ағылыў	и. д. от ағыл- - движёние (массой, толпой)
aǵım	ағым	1) течёние; 2) перен
aǵımdaǵı	ағымдағы	текущий; ағымдағы
aǵın	ағын	текучий, проточный;
aǵıraq	ағырақ	белёе
aǵıs	ағыс	течёние; қатты ағыс
aǵıslı	ағыслы	быстротекущий; ағыслы дэрья быстрая река
aǵıt-	ағыт-	1) расстёгивать; 2) рас
aǵıtıw	ағытыў	и. д. - от ағыт- - 1) рас
aǵıw	ағыў	и. д. от ақ- - течёние
adaq	адақ	см. - ада; адақ арба телёжка для катания ребёнка
adaqla-	адақла-	см. адала
adalatlıq	адалатлық	1) справедливость;
adasqaq	адасқақ	легко заблуждающий - ся, ошибающийся человек
adasıw	адасыў	и. д. от. - адас- - 1) блуж
adasıwshılıq	адасыўшылық	1) по.ножёние
adawat	адаўат	вражда, враждебность;
adawatlas-	адаўатлас-	враждовать с - кем-л., относиться н1)аждйбио к
adawatlı	адаўатлы	враждебный: злобный
advokatlıq	адвокатлық	адвокатура
adırsımaq	адырсымақ	слегка - неровный
ajıralıwshılıq	ажыралыўшылық	разлука, рас
ajırıq	ажырық	бот. - ажрык, прибрёжШ1Ц.З солончаковая
múminp	мүминп	жерлер аз - ба! мало ли где
azadalıq	азадалық	чистота, опрят
azaytqısh	азайтқыш	мат. - вычитаемое
azayıw	азайыў	и. д. от - азай- - 1) умень
azalaw	азалаў	и. д. от азала- выраже
azatlıq	азатлық	свобода; / свободный;
azatshılıq	азатшылық	см. азатлық
azǵan-tozǵan	азған-тозған	похудевший
azǵantay	азғантай	мало, немного, нет
azǵın	азғын	I название сорта дыни
azǵır-	азғыр-	1) искушать, соблаз
azǵırıl-	азғырыл-	страд, от азғыр
azǵırıw	азғырыў	и. д. от - азғыр- I)
azǵırıwshı	азғырыўшы	1) искуейтель, соблазнйтель, совратйтель; 2) под
azǵırıwshılıq	азғырыўшылық	1) искушение
azlmq	азлмқ	недостаток, недостаточ
ǵazpası	ғазпасы	погов. если попереч
azsıpıw	азсыпыў	п. д. от азсын-. - азуў к.пык; азуў тис коренной
azuwlı	азуўлы	1) име1ош.11и клыки;
azıq	азық	продов6льетвм(‘, нроми
kúnlik	күнлик	жолға - шықсац, үш күн
azıq-awqat	азық-аўқат	собир. продукты - питания, продовбльствие, пища
azıqlandır-	азықландыр-	понуд. от азық- - лан- - 1) питать, кормить; 2)
azıqlı	азықлы	имеющий - пищу, про
azıqsızlıq	азықсызлық	отсутствие - пйщи
azıq-túlik	азық-түлик	собир. разная - провйзия, различные продукты пи
azımshıq	азымшық	мало, немнбго
azınqı	азынқы	худбй, похудевший
aybaraq	айбарақ	1) угроза; 2) напы
aybatlılıq	айбатлылық	см. айбат
aygabaǵar	айгабағар	подсолнух
ayǵaq	айғақ	1) юр. свидетель; 2)
nygaqlıq	нйгақлық	1) юр. обязанность
aydan-anıq	айдан-анық	ясно, понятно;
aydaw	айдаў	глубокая (первичная)
ayqay	айқай	крик; айқай сал- силь
ayqaylaw	айқайлаў	и. д. от - айқайлакрик
ayqaspa	айқаспа	рубеж; место соеди
ayqastır-	айқастыр-	понуд. от - айқас- - 1) вовлечь в драку; 2) сцепить
ayqasıw	айқасыў	и. д. от айқас
ayqulak	айқулак	жабернная - кость {у
ayqın	айқын	1) явный, очевидный;
QIN	ҚЫН	СӨЗ ясная - речь; 3) конкрет
ayqınla-	айқынла-	1) выяснять {доско
ayqınlan-	айқынлан-	страд, от айқынла- 1) выясняться, конкретизи
ayqınlawısh	айқынлаўыш	пояснйтельный
ayqısh-uyqısh	айқыш-уйқыш	крест-накрест. - айлан- I) вертеться, вращать
ǴIY	ҒЫЙ	шөжелердиц үстинен айланып ушты ястреб кружил над - цыплятами; 2) объезжать, об
aylandırıw	айландырыў	и. д. от - айландыр- - 1) верчение, вращёние, круже
aylanıshlıq	айланышлық	1) обход, объезд;
aylıq	айлық	1) рассчитанный на мёС1 1И, месячный; бир айлық жол
aymaq	аймақ	уст. - край, территория;
awıl-aymaǵıc	аўыл-аймағыц	менен шық- - мыГп'и со всеми вместе; выйти
aypalshaq	айпалшақ	нерасторопный
xojalıǵına	хожалығына	айналыс- занимать
aynalısıw	айналысыў	и. д. от айналыс
aynıǵan	айныған	1) испорченный (о
aynıǵanlıq	айнығанлық	измена, преда
aynıǵısh	айнығыш	изменчивый, непо
aynıǵıshlıq	айнығышлық	изменчивость
aynıtıw	айнытыў	и. д. от - айныт- - 1)
aykıw	айкыў	и. д. от - айны- - 1) от
ayrıq	айрық	раздвоенный, вилооб
ayrıqsha	айрықша	отдельный; особый
ayrıqshalıq	айрықшалық	особенность, отлйчие
ǵan	ған	қурдасыиан айрылады погов
ayrılıw	айрылыў	и. д. от - айрыл- - 1) раздвоение; разделение; 2)
aytarlıq	айтарлық	то, что можно ска
aytarlıqtay	айтарлықтай	особый, заслу
aytQız-	айтҚыз-	см. айттыр
aytqısh	айтқыш	рассказчик; оратор;
aytlıq	айтлық	праздничный - подарок
QOSIQ	ҚОСЫҚ	айттыр- заставить спеть - песню; <0* қыз айттыр- сосватать
ayshıq	айшық	женское нагрудное
ayshılıq	айшылық	рассчитанный на
ayıǵıw	айығыў	и. д. от - айық- - 1)
ayıqtır-	айықтыр-	понуд. от - айық- - 1)
ayıqtırıw	айықтырыў	и. д. от - айық
ǵalaǵanı	ғалағаны	айып, тазы ийттиц
ayıplanıw	айыпланыў	и. д. от - айыплан- - 1) обвинение; упрёки; 2) штра
ayıplanıwshı	айыпланыўшы	1) виновный;
ayıplaw	айыплаў	и. д. от айыпла
ayıplılıq	айыплылық	см. айыпкерлик. - айыпсыз - 1) невиновный, безвйнный; 2) безукорйзненный
ayıpsızlıq	айыпсызлық	см. айыпкерсиз
ǵıda	ғыда	ҳеш нәрсе айыра алмадым
ayırmashılıq	айырмашылық	отлйчие, осо
ayırıq	айырық	разветвление, развйлина; жолдыц айырыгы развйлина дороги
ayırılıw	айырылыў	и. д. от - айырыл- I)
ayırımlıq	айырымлық	особенность
piadgmiyalıq	пиадгмиялық	академический
akrobatlıq	акробатлық	акробатический;
aktivlesiw	активлесиў	и. д. от - активлесактивизация {напр. группы, кол‘
aktivlestiriw	активлестириў	и. д. от ак
aktlew	актлеў	и. д. от актле- состав
akustikalıq	акустикалық	акустйческий
akusherkalıq	акушеркалық	акушерство;
aq	ақ	1) белый; ақ шыт белый сйтёц; ' ақ тамақ с белой шеей
ǴILT	ҒЫЛТ	белокурый;. 2) прям, и
aq-	ақ-	течь, протекать; тасып ақ
aqtı	ақты	река разлилась
aqaw	ақаў	труха, гниль внутрй де
aqbas	ақбас	бот. каролйна каспййская
aqbilek	ақбилек	камыш озёрный
aqquw	аққуў	лебедь
aqqısh	аққыш	протекающий; теку
aqla-	ақла-	1) белить, отбеливать;
aqlan-	ақлан-	возвр.-страд, от ақла
aqlanıw	ақланыў	и. д. - от ақлан- - 1)
aqlat-	ақлат-	понуд. - от ақла- - 1)
aqlattır-	ақлаттыр-	понуд. от ақлат
aqlatıw	ақлатыў	и. д. - от ақлат- - 1)
aqlaw	ақлаў	и. д. - от ақла- - 1) отбел
